Entry,Accession,Trait,Latitude,Longitude,Group,Photoperiod,Value
M. floridulus  'NG77-022',PI417947,Culm length,-3.55,143.6333333,SE China Msi,10,198.8166667
M. floridulus 'US56-0022-03',PI230189,Culm length,-20.91,165.33,SE China Msi,10,81.15555556
M. sacchariflorus 'Hortico',UI10-00008,Culm length,,,NE China/Korea/Russia 2x Msa,10,13.24444444
M. sinensis 'EBI-2008-32a',EBI-2008-32a,Culm length,43.3931,141.43225,N Japan Msi,10,14.66666667
M. sinensis 'EBI-2008-51c',EBI-2008-51c,Culm length,43.44818333,142.64555,N Japan Msi,10,17.4
M. sinensis 'Flamingo',UI10-00041,Culm length,,,C Japan Msi,10,10.28888889
M. sinensis 'Gracillimus',UI10-00048,Culm length,,,S Japan Msi,10,9.533333333
M. sinensis 'Koike-11a',Koike-11a,Culm length,38,138.36,C Japan Msi,10,13.26666667
M. sinensis 'Koike-12b',Koike-12b,Culm length,36.7,137.19,C Japan Msi,10,12.3
M. sinensis 'Koike-21c',Koike-21c,Culm length,32.16,130.39,S Japan Msi,10,36.8
M. sinensis 'Miyazaki 1.5',UI11-00001.5,Culm length,31.83,131.42,S Japan Msi,10,18.41111111
M. sinensis 'Nippon',UI10-00074,Culm length,,,S Japan Msi,10,6.8
M. sinensis 'Onna-1',OKA-2010-001,Culm length,26.44585,127.806144,SE China Msi,10,61.6
M. sinensis 'PMS-130',PMS-130,Culm length,33.45548333,105.1373833,Yangtze-Qinling Msi,10,21.3
M. sinensis 'PMS-159',PMS-159,Culm length,34.12948333,111.04395,Yangtze-Qinling Msi,10,13.31111111
M. sinensis 'PMS-161',PMS-161,Culm length,35.72196667,112.3247667,Yangtze-Qinling Msi,10,6.711111111
M. sinensis 'PMS-164',PMS-164,Culm length,37.34001667,114.2810333,Yangtze-Qinling Msi,10,7.688888889
M. sinensis 'PMS-204',PMS-204,Culm length,31.70131667,114.8741167,Yangtze-Qinling Msi,10,20.41111111
M. sinensis 'PMS-226',PMS-226,Culm length,26.62055,106.75145,Sichuan Msi,10,83.7
M. sinensis 'PMS-306',PMS-306,Culm length,29.89176667,119.8417167,Yangtze-Qinling Msi,10,17.32222222
M. sinensis 'PMS-314',PMS-314,Culm length,26.52793333,119.6324333,Yangtze-Qinling Msi,10,36.65555556
M. sinensis 'PMS-347',PMS-347,Culm length,24.16798333,115.8838667,SE China Msi,10,85.76666667
M. sinensis 'PMS-359',PMS-359,Culm length,22.91336667,112.3369667,SE China Msi,10,85.25555556
M. sinensis 'PMS-375',PMS-375,Culm length,19.63043333,110.2908833,SE China Msi,10,76.11111111
M. sinensis 'PMS-382',PMS-382,Culm length,18.90558333,109.5137833,SE China Msi,10,141.4666667
M. sinensis 'PMS-436',PMS-436,Culm length,41.31701667,123.7384,"Korea, N China Msi",10,6.133333333
M. sinensis 'PMS-438',PMS-438,Culm length,41.32883333,123.6902667,"Korea, N China Msi",10,14.55555556
M. sinensis 'Sugadaira 2.4',UI11-00002.4,Culm length,36,138.12,C Japan Msi,10,10.72222222
M. sinensis 'Teshio 3.3',UI11-00003.3,Culm length,44.91666667,141.9833333,N Japan Msi,10,14.68888889
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,Culm length,40.21601,140.22625,N Japan Msi,10,15.66666667
M. sinensis 'Uruma-1b',OKA-2010-002,Culm length,26.340312,127.854968,SE China Msi,10,90.85555556
M. sinensis var. condensatus 'Cabaret',UI10-00012,Culm length,,,C Japan Msi,10,16.77777778
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,Culm length,30.87438333,120.1449,,10,23.11111111
M. ×giganteus 'Illinois',UI10-00107,Culm length,,,,12.5,141.0111111
M. floridulus  'NG77-022',PI417947,Culm length,-3.55,143.6333333,SE China Msi,12.5,183.1333333
M. floridulus 'US56-0022-03',PI230189,Culm length,-20.91,165.33,SE China Msi,12.5,197.7666667
M. sacchariflorus 'Hortico',UI10-00008,Culm length,,,NE China/Korea/Russia 2x Msa,12.5,37.1
M. sinensis 'EBI-2008-32a',EBI-2008-32a,Culm length,43.3931,141.43225,N Japan Msi,12.5,17.26666667
M. sinensis 'EBI-2008-51c',EBI-2008-51c,Culm length,43.44818333,142.64555,N Japan Msi,12.5,40.38888889
M. sinensis 'Flamingo',UI10-00041,Culm length,,,C Japan Msi,12.5,26.98888889
M. sinensis 'Gracillimus',UI10-00048,Culm length,,,S Japan Msi,12.5,12.16666667
M. sinensis 'Koike-11a',Koike-11a,Culm length,38,138.36,C Japan Msi,12.5,31.98888889
M. sinensis 'Koike-12b',Koike-12b,Culm length,36.7,137.19,C Japan Msi,12.5,27.73333333
M. sinensis 'Koike-21c',Koike-21c,Culm length,32.16,130.39,S Japan Msi,12.5,108
M. sinensis 'Miyazaki 1.5',UI11-00001.5,Culm length,31.83,131.42,S Japan Msi,12.5,120.1888889
M. sinensis 'Nippon',UI10-00074,Culm length,,,S Japan Msi,12.5,30.9
M. sinensis 'Onna-1',OKA-2010-001,Culm length,26.44585,127.806144,SE China Msi,12.5,87.03333333
M. sinensis 'PMS-130',PMS-130,Culm length,33.45548333,105.1373833,Yangtze-Qinling Msi,12.5,22.61111111
